"Stratum","Regimen","Dose","Interval","N","Mean_AUC","SD_AUC","PTA_target","PTA_above600","PTA_below400"
"AKI","500mg q12h",500,12,500,272.3,61.9,3.4,0,96.6
"AKI","750mg q12h",750,12,500,400.3,88.3,42.8,2.8,54.4
"AKI","1500mg q12h",1500,12,500,814.7,176.5,9.6,90.4,0
"AKI","500mg q24h",500,24,500,268.5,57.8,2.2,0,97.8
"AKI","750mg q24h",750,24,500,401.3,86.5,43.8,2,54.2
"AKI","1000mg q24h",1000,24,500,534,110,67.8,23.8,8.4
"AKI","1250mg q24h",1250,24,500,686.4,148.7,28.6,70.6,0.8
"AKI","750mg q36h",750,36,500,250,63.1,0.6,0,99.4
"AKI","1000mg q36h",1000,36,500,336,91,20.2,1,78.8
"ARC","1500mg q8h",1500,8,500,230.6,68.3,1.4,0,98.6
"ARC","2000mg q8h",2000,8,500,310.5,90.4,16.2,0.4,83.4
"ARC","2500mg q8h",2500,8,500,379.1,116,34.4,4,61.6
"ARC","3000mg q8h",3000,8,500,458.3,141.6,45,16.2,38.8
"ARC","3500mg q8h",3500,8,500,541.4,154,49.8,32.4,17.8
"ARC","1500mg q12h",1500,12,500,233.4,69,2,0,98
"ARC","2000mg q12h",2000,12,500,305.6,88.5,14.6,0.2,85.2
"ARC","2500mg q12h",2500,12,500,386.9,109.9,36,4.4,59.6
"ARC","3000mg q12h",3000,12,500,460.8,130.4,49.6,14,36.4
"Normal","1500mg q8h",1500,8,500,338.4,94,21.8,0.8,77.4
"Normal","1750mg q8h",1750,8,500,393.5,106.1,39.8,5.2,55
"Normal","2000mg q8h",2000,8,500,460.6,123.6,51.2,13.6,35.2
"Normal","1500mg q12h",1500,12,500,336.9,95.6,21.8,1.2,77
"Normal","1750mg q12h",1750,12,500,394.4,115.4,39.8,4.4,55.8
"Normal","2000mg q12h",2000,12,500,459.3,127.7,50.4,14.2,35.4
"Normal","2500mg q12h",2500,12,500,568,156.2,50,37,13
